"Bird","day","Square","Dur.hrs"
334,32,18250,0.0536111111111111
334,32,18251,0.0669444444444444
334,32,18252,0.04
334,32,18253,0.107222222222222
334,32,18254,0.0230555555555556
334,32,18431,0.0794444444444444
334,32,18432,0.246111111111111
334,32,18433,0.993611111111111
334,32,18436,0.0311111111111111
334,32,18437,0.140833333333333
334,32,18438,0.0727777777777778
334,32,18439,0.0663888888888889
334,32,18618,0.812222222222222
334,32,18620,0.0686111111111111
334,32,18621,0.0819444444444444
334,32,18624,0.000833333333333333
334,32,18625,0.0669444444444444
334,32,18626,0.0530555555555556
334,32,18803,0.0230555555555556
334,32,18804,0.404722222222222
334,32,18805,0.0444444444444444
334,33,13609,12.5533333333333
334,33,13610,0.0530555555555556
334,33,13611,0.0352777777777778
334,33,13794,0.128611111111111
334,33,13796,0.0177777777777778
334,33,13797,0.0530555555555556
334,33,13798,0.0530555555555556
334,33,13799,0.0280555555555556
334,33,13979,0.128611111111111
334,33,13984,0.025
334,33,13985,0.0530555555555556
334,33,13986,0.0530555555555556
334,33,13987,0.02
334,33,14164,0.0533333333333333
334,33,14172,0.0330555555555556
334,33,14173,0.0530555555555556
334,33,14174,0.0355555555555556
334,33,14349,0.0280555555555556
334,33,14359,0.0444444444444444
334,33,14360,0.0175
334,33,14533,0.0816666666666667
334,33,14534,0.0436111111111111
334,33,14545,0.0647222222222222
334,33,14719,0.123611111111111
334,33,14730,0.00222222222222222
334,33,14731,0.0630555555555556
334,33,14732,0.0172222222222222
334,33,14904,0.03
334,33,14905,0.0936111111111111
334,33,14917,0.0475
334,33,14918,0.0244444444444444
334,33,15089,0.0283333333333333
334,33,15090,0.0188888888888889
334,33,15091,0.0763888888888889
334,33,15103,0.0497222222222222
334,33,15104,0.0147222222222222
334,33,15274,0.0025
334,33,15275,0.0258333333333333
334,33,15276,0.0363888888888889
334,33,15277,0.0591666666666667
334,33,15289,0.0597222222222222
334,33,15290,0.00472222222222222
334,33,15460,0.0283333333333333
334,33,15462,0.0533333333333333
334,33,15463,0.0472222222222222
334,33,15475,0.0644444444444444
334,33,15645,0.0283333333333333
334,33,15648,0.0583333333333333
334,33,15649,0.0483333333333333
334,33,15660,0.00472222222222222
334,33,15661,0.0594444444444444
334,33,15830,0.0283333333333333
